id,stationID,longitude,latitude,live,avg,cityID,stateID
site_1450,"Kalal Majra, Khanna - PPCB",76.209694,30.736056,TRUE,65,Khanna,Punjab
site_258,"Tirumala, Tirupati - APPCB",79.35,13.67,TRUE,29,Tirupati,Andhra Pradesh
site_260,"GVM Corporation, Visakhapatnam - APPCB",83.3,17.72,TRUE,91,Visakhapatnam,Andhra Pradesh
site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB",81.7363176,16.9872867,TRUE,27,Rajamahendravaram,Andhra Pradesh
site_1406,"Secretariat, Amaravati - APPCB",80.5181667,16.5150833,TRUE,14,Amaravati,Andhra Pradesh
site_5590,"Zero Point GICI, Gangtok - SSPCB",88.614099,27.33853,TRUE,8,Gangtok,Sikkim
site_5346,"Sikulpuikawn, Aizawl - Mizoram PCB",92.7192841,23.7176342,TRUE,15,Aizawl,Mizoram
site_5423,"Jawahar Nagar, Puducherry - PPCC",79.8027,11.9309,TRUE,54,Puducherry,Puducherry
site_5536,"Civic Center, Bhilai - Bhilai Steel Plant",81.343175,21.185571,FALSE,,Bhilai,Chhattisgarh
site_5503,"Mangala, Bilaspur - NTPC",82.13737,22.08815,TRUE,65,Bilaspur,Chhattisgarh
site_5593,"JN Stadium, Shillong - Meghalaya PCB",91.8942571,25.5803419,TRUE,30,Shillong,Meghalaya 
site_5131,"Lumpyngngad, Shillong - Meghalaya PCB",91.8985,25.5586,TRUE,19,Shillong,Meghalaya 
site_5586,"HIMUDA Complex Phase-1, Baddi - HPPCB",76.801991,30.943887,TRUE,77,Baddi,Himachal Pradesh
site_5446,"Naharlagun, Naharlagun - APSPCB",93.679645,27.103358,TRUE,26,Naharlagun,Arunachal Pradesh
site_5592,"DM College of Science, Imphal - Manipur PCB",93.9423085,24.8207389,TRUE,22,Imphal,Manipur
site_5591,"Manipur University, Imphal - Manipur PCB",93.9286218,24.7524239,TRUE,31,Imphal,Manipur
site_5375,"PWD Juction, Kohima - NPCB",94.0989878,25.6635413,TRUE,44,Kohima,Nagaland
site_254,"Tata Stadium, Jorapokhar - JSPCB",86.41467,23.707909,FALSE,,Jorapokhar,Jharkhand
